19:15560662-15560862	#WIZ, ratio=0.0016936
X:152864532-152864732	#FAM58A, ratio=0.103434
20:59827381-59827581	#CDH4, ratio=0.103511
9:33817081-33817281	#UBE2R2, ratio=0.103726
3:132441203-132441403	#NPHP3, ratio=0.10418
3:132441203-132441403	#NPHP3-ACAD11, ratio=0.10418
22:31090692-31090892	#OSBP2, ratio=0.104252
16:19896051-19896251	#GPRC5B, ratio=0.104314
2:181845241-181845441	#UBE2E3, ratio=0.104407
9:130517483-130517683	#SH2D3C, ratio=0.104457
12:57522181-57522381	#LRP1, ratio=0.104495
20:61904064-61904264	#ARFGAP1, ratio=0.104614
3:187871776-187871976	#LPP-AS2, ratio=0.104905
1:9189129-9189329	#GPR157, ratio=0.104977
12:57853817-57854017	#GLI1, ratio=0.105079
9:96717508-96717708	#BARX1, ratio=0.105177
15:52821147-52821347	#MYO5A, ratio=0.10537
17:48207067-48207267	#SAMD14, ratio=0.105373
3:63849497-63849697	#THOC7, ratio=0.105593
6:107811216-107811416	#SOBP, ratio=0.105613
17:75277391-75277591	#SEPT9, ratio=0.105799
15:68871207-68871407	#CORO2B, ratio=0.105876
18:67956036-67956236	#SOCS6, ratio=0.105889
11:64512229-64512429	#RASGRP2, ratio=0.106028
11:64545838-64546038	#SF1, ratio=0.106114
15:75743826-75744026	#SIN3A, ratio=0.106227
13:42846188-42846388	#AKAP11, ratio=0.106308
19:47778041-47778241	#PRR24, ratio=0.106325
2:225450010-225450210	#CUL3, ratio=0.106362
11:57417317-57417517	#YPEL4, ratio=0.106463
10:15412958-15413158	#FAM171A1, ratio=0.106532
7:44143859-44144059	#AEBP1, ratio=0.106769
21:30671119-30671319	#BACH1, ratio=0.106794
1:6453726-6453926	#ACOT7, ratio=0.107139
17:21454841-21455041	#C17orf51, ratio=0.107231
1:49242447-49242647	#BEND5, ratio=0.107367
3:129612319-129612519	#TMCC1, ratio=0.107412
2:48132832-48133032	#FBXO11, ratio=0.107534
11:17410778-17410978	#KCNJ11, ratio=0.107584
19:291335-291535	#PPAP2C, ratio=0.107587
20:20693166-20693366	#RALGAPA2, ratio=0.107594
20:36531398-36531598	#VSTM2L, ratio=0.107599
12:133338351-133338551	#ANKLE2, ratio=0.107989
1:35734467-35734667	#ZMYM4, ratio=0.107995
6:161412721-161412921	#MAP3K4, ratio=0.10813
16:66461099-66461299	#BEAN1, ratio=0.108153
12:50017302-50017502	#PRPF40B, ratio=0.108289
1:85156051-85156251	#SSX2IP, ratio=0.108817
3:123603049-123603249	#MYLK, ratio=0.108869
3:33481770-33481970	#UBP1, ratio=0.108901
19:14800769-14800969	#ZNF333, ratio=0.10898
1:109584750-109584950	#WDR47, ratio=0.108987
19:50270079-50270279	#AP2A1, ratio=0.109302
19:1286052-1286252	#EFNA2, ratio=0.109328
9:132805373-132805573	#FNBP1, ratio=0.109346
9:98079436-98079636	#FANCC, ratio=0.109465
3:164914369-164914569	#SLITRK3, ratio=0.109533
20:62152032-62152232	#PPDPF, ratio=0.109799
16:80838075-80838275	#CDYL2, ratio=0.110081
2:48757207-48757407	#STON1, ratio=0.110094
6:143381922-143382122	#AIG1, ratio=0.110149
14:105155842-105156042	#INF2, ratio=0.110284
10:7708861-7709061	#ITIH5, ratio=0.110317
21:35445722-35445922	#MRPS6, ratio=0.110332
10:88516295-88516495	#BMPR1A, ratio=0.110553
17:44928867-44929067	#WNT9B, ratio=0.110558
4:2758003-2758203	#TNIP2, ratio=0.111043
3:101568257-101568457	#NFKBIZ, ratio=0.111064
22:47134052-47134252	#CERK, ratio=0.111074
7:2443094-2443294	#CHST12, ratio=0.111128
16:73092434-73092634	#ZFHX3, ratio=0.111385
9:91606261-91606461	#S1PR3, ratio=0.111411
1:16174258-16174458	#SPEN, ratio=0.111609
1:43282675-43282875	#ERMAP, ratio=0.111653
19:13617174-13617374	#CACNA1A, ratio=0.111762
9:139581811-139582011	#AGPAT2, ratio=0.111764
12:104234875-104235075	#NT5DC3, ratio=0.111831
3:126076136-126076336	#KLF15, ratio=0.111916
14:53417715-53417915	#FERMT2, ratio=0.112071
6:41514063-41514263	#FOXP4, ratio=0.112145
5:1009067-1009267	#NKD2, ratio=0.112161
18:11981326-11981526	#IMPA2, ratio=0.112168
19:19383974-19384174	#TM6SF2, ratio=0.112189
15:74833447-74833647	#ARID3B, ratio=0.112332
3:182511190-182511390	#ATP11B, ratio=0.112388
16:30675677-30675877	#FBRS, ratio=0.11242
19:40697550-40697750	#MAP3K10, ratio=0.112445
X:153200507-153200707	#NAA10, ratio=0.112507
1:230202855-230203055	#GALNT2, ratio=0.112604
8:41435606-41435806	#AGPAT6, ratio=0.112798
16:28074730-28074930	#GSG1L, ratio=0.112799
11:58346486-58346686	#ZFP91, ratio=0.112989
11:58346486-58346686	#ZFP91-CNTF, ratio=0.112989
6:35464761-35464961	#TEAD3, ratio=0.113004
10:35104153-35104353	#PARD3, ratio=0.113118
8:26148906-26149106	#PPP2R2A, ratio=0.113211
18:78005297-78005497	#PARD6G, ratio=0.113388
X:9433100-9433300	#TBL1X, ratio=0.113388
8:66753869-66754069	#PDE7A, ratio=0.113589
X:49644369-49644569	#USP27X, ratio=0.113662
17:80376151-80376351	#HEXDC, ratio=0.113678
3:113415393-113415593	#KIAA2018, ratio=0.113839
9:130331255-130331455	#FAM129B, ratio=0.11389
1:6557384-6557584	#PLEKHG5, ratio=0.113924
19:3094307-3094507	#GNA11, ratio=0.114034
X:39956619-39956819	#BCOR, ratio=0.114057
16:58497448-58497648	#NDRG4, ratio=0.114106
14:60715865-60716065	#PPM1A, ratio=0.114194
12:70759961-70760161	#KCNMB4, ratio=0.114214
2:230135957-230136157	#PID1, ratio=0.114303
9:34958091-34958291	#KIAA1045, ratio=0.114322
1:65432087-65432287	#JAK1, ratio=0.114421
1:205538011-205538211	#MFSD4, ratio=0.114509
7:75508216-75508416	#RHBDD2, ratio=0.114586
6:158244193-158244393	#SNX9, ratio=0.114719
15:63569648-63569848	#APH1B, ratio=0.115047
4:38869253-38869453	#FAM114A1, ratio=0.115183
20:57466325-57466525	#GNAS, ratio=0.115382
1:225840745-225840945	#ENAH, ratio=0.115463
6:160114253-160114453	#SOD2, ratio=0.115485
22:19279139-19279339	#CLTCL1, ratio=0.11562
1:155532224-155532424	#ASH1L, ratio=0.115859
11:46403118-46403318	#MDK, ratio=0.115862
21:47401562-47401762	#COL6A1, ratio=0.115949
2:169104005-169104205	#STK39, ratio=0.116031
6:36164449-36164649	#BRPF3, ratio=0.116039
2:9143776-9143976	#MBOAT2, ratio=0.11623
15:86338089-86338289	#KLHL25, ratio=0.116279
1:21835757-21835957	#ALPL, ratio=0.116295
12:120703474-120703674	#PXN, ratio=0.116359
1:2126114-2126314	#C1orf86, ratio=0.116546
7:149194798-149194998	#ZNF746, ratio=0.116594
15:78556888-78557088	#DNAJA4, ratio=0.116698
8:57123759-57123959	#PLAG1, ratio=0.116699
12:11802687-11802887	#ETV6, ratio=0.116747
7:102257105-102257305	#RASA4, ratio=0.116885
11:12030817-12031017	#DKK3, ratio=0.116961
9:126692317-126692517	#DENND1A, ratio=0.117027
14:101193101-101193301	#DLK1, ratio=0.117057
4:157892446-157892646	#PDGFC, ratio=0.117081
7:151329244-151329444	#PRKAG2, ratio=0.11712
6:4135731-4135931	#ECI2, ratio=0.117156
19:821852-822052	#LPPR3, ratio=0.117366
7:17338175-17338375	#AHR, ratio=0.117453
20:32077827-32078027	#CBFA2T2, ratio=0.117594
6:56819672-56819872	#BEND6, ratio=0.117639
10:124220940-124221140	#HTRA1, ratio=0.117718
1:65886234-65886434	#LEPR, ratio=0.117866
1:150947379-150947579	#CERS2, ratio=0.117894
11:67210883-67211083	#CORO1B, ratio=0.118016
6:31869669-31869869	#ZBTB12, ratio=0.118032
20:61436076-61436276	#OGFR, ratio=0.118037
17:80674481-80674681	#FN3KRP, ratio=0.118223
1:53192030-53192230	#ZYG11B, ratio=0.118232
12:33049680-33049880	#PKP2, ratio=0.118338
13:78271888-78272088	#SLAIN1, ratio=0.118372
9:100263820-100264020	#TMOD1, ratio=0.118491
17:39992388-39992588	#NT5C3L, ratio=0.11853
7:50861059-50861259	#GRB10, ratio=0.118798
2:211035951-211036151	#KANSL1L, ratio=0.118856
14:74892705-74892905	#SYNDIG1L, ratio=0.118943
12:3068377-3068577	#TEAD4, ratio=0.119079
X:2527205-2527405	#CD99P1, ratio=0.119091
20:3388209-3388409	#C20orf194, ratio=0.11915
17:80009550-80009750	#RFNG, ratio=0.11925
17:26879546-26879746	#UNC119, ratio=0.119598
5:131593250-131593450	#PDLIM4, ratio=0.119633
9:27573391-27573591	#C9orf72, ratio=0.119687
1:235813193-235813393	#GNG4, ratio=0.11971
1:9970216-9970416	#CTNNBIP1, ratio=0.119733
6:44191262-44191462	#SLC29A1, ratio=0.119848
1:159141276-159141476	#CADM3, ratio=0.120063
22:45636550-45636750	#KIAA0930, ratio=0.120071
2:62932900-62933100	#EHBP1, ratio=0.120105
9:74383700-74383900	#TMEM2, ratio=0.120146
4:16228185-16228385	#FLJ39653, ratio=0.120236
6:5261072-5261272	#LYRM4, ratio=0.120491
8:30891131-30891331	#PURG, ratio=0.120587
7:21467588-21467788	#SP4, ratio=0.120637
1:222791343-222791543	#MIA3, ratio=0.121032
18:67068183-67068383	#DOK6, ratio=0.121107
2:68479551-68479751	#PPP3R1, ratio=0.12144
5:179718971-179719171	#MAPK9, ratio=0.121475
12:129337980-129338180	#GLT1D1, ratio=0.12148
2:172017310-172017510	#TLK1, ratio=0.121524
16:89894806-89895006	#SPIRE2, ratio=0.1218
X:125299980-125300180	#DCAF12L2, ratio=0.121986
3:46742722-46742922	#TMIE, ratio=0.12204
19:35759795-35759995	#USF2, ratio=0.122241
8:142138619-142138819	#DENND3, ratio=0.122255
12:1100303-1100503	#ERC1, ratio=0.122289
17:3796237-3796437	#CAMKK1, ratio=0.12251
2:159313375-159313575	#PKP4, ratio=0.122566
X:16964713-16964913	#REPS2, ratio=0.122727
12:122018264-122018464	#KDM2B, ratio=0.122988
2:946453-946653	#SNTG2, ratio=0.123105
11:9113050-9113250	#SCUBE2, ratio=0.123188
5:141257844-141258044	#PCDH1, ratio=0.123188
14:56584992-56585192	#PELI2, ratio=0.123425
8:99837809-99838009	#STK3, ratio=0.123448
9:115513033-115513233	#SNX30, ratio=0.123787
3:52090361-52090561	#DUSP7, ratio=0.123885
8:86376030-86376230	#CA2, ratio=0.124015
11:17498349-17498549	#ABCC8, ratio=0.124067
9:139781084-139781284	#MIR4479, ratio=0.124106
3:38691063-38691263	#SCN5A, ratio=0.124406
1:155164867-155165067	#MIR92B, ratio=0.124414
1:182992494-182992694	#LAMC1, ratio=0.124449
15:75118850-75119050	#CPLX3, ratio=0.124524
8:27168734-27168934	#TRIM35, ratio=0.124579
8:16884646-16884846	#EFHA2, ratio=0.124586
2:29033599-29033799	#SPDYA, ratio=0.124588
2:135476471-135476671	#TMEM163, ratio=0.124648
4:185747115-185747315	#ACSL1, ratio=0.124699
9:100818858-100819058	#NANS, ratio=0.124816
19:2308056-2308256	#LINGO3, ratio=0.124946
3:14989300-14989500	#FGD5-AS1, ratio=0.125044
1:21616666-21616866	#ECE1, ratio=0.125204
7:43622591-43622791	#STK17A, ratio=0.125272
X:40594704-40594904	#MED14, ratio=0.125318
4:819845-820045	#CPLX1, ratio=0.125364
7:150675302-150675502	#KCNH2, ratio=0.125414
14:45366406-45366606	#C14orf28, ratio=0.125439
17:27920426-27920626	#ANKRD13B, ratio=0.125636
20:62680879-62681079	#SOX18, ratio=0.125677
2:37193515-37193715	#STRN, ratio=0.125753
13:27334822-27335022	#GPR12, ratio=0.125788
16:11891014-11891214	#ZC3H7A, ratio=0.125866
19:676288-676488	#FSTL3, ratio=0.125906
14:100259644-100259844	#EML1, ratio=0.126
9:139780864-139781064	#TRAF2, ratio=0.12601
15:44829165-44829365	#EIF3J, ratio=0.126061
2:11484611-11484811	#ROCK2, ratio=0.126075
14:105487325-105487525	#CDCA4, ratio=0.126165
8:42751932-42752132	#HOOK3, ratio=0.126222
12:48744574-48744774	#ZNF641, ratio=0.126228
11:61276171-61276371	#LRRC10B, ratio=0.126311
19:54485460-54485660	#MIR935, ratio=0.126353
7:140624464-140624664	#BRAF, ratio=0.126507
9:130689670-130689870	#PIP5KL1, ratio=0.126543
19:3366464-3366664	#NFIC, ratio=0.126749
2:233792761-233792961	#NGEF, ratio=0.126841
1:21044217-21044417	#KIF17, ratio=0.126851
3:52444426-52444626	#PHF7, ratio=0.126891
15:93632343-93632543	#RGMA, ratio=0.126968
6:13711696-13711896	#RANBP9, ratio=0.127037
2:101767746-101767946	#TBC1D8, ratio=0.12717
13:27745933-27746133	#USP12, ratio=0.127235
11:111847932-111848132	#DIXDC1, ratio=0.127424
19:10713020-10713220	#SLC44A2, ratio=0.127456
20:19193189-19193389	#SLC24A3, ratio=0.127587
20:41818457-41818657	#PTPRT, ratio=0.127758
7:154794582-154794782	#PAXIP1, ratio=0.127916
19:8070429-8070629	#ELAVL1, ratio=0.127983
11:119234792-119234992	#USP2, ratio=0.128089
21:42879985-42880185	#TMPRSS2, ratio=0.12811
22:30722855-30723055	#TBC1D10A, ratio=0.128145
22:19701886-19702086	#SEPT5, ratio=0.128157
X:70586013-70586213	#TAF1, ratio=0.12826
16:447091-447291	#NME4, ratio=0.128333
16:22448936-22449136	#RRN3P3, ratio=0.12876
8:73449525-73449725	#KCNB2, ratio=0.128767
3:129325482-129325682	#PLXND1, ratio=0.128831
2:61404454-61404654	#AHSA2, ratio=0.128915
2:44395899-44396099	#PPM1B, ratio=0.128917
12:120806858-120807058	#MSI1, ratio=0.129055
22:45097977-45098177	#PRR5, ratio=0.129094
1:245133530-245133730	#EFCAB2, ratio=0.129149
11:71955120-71955320	#PHOX2A, ratio=0.129166
11:65686627-65686827	#DRAP1, ratio=0.129231
12:116714891-116715091	#MED13L, ratio=0.129319
1:53018662-53018862	#ZCCHC11, ratio=0.129622
4:10118473-10118673	#WDR1, ratio=0.129708
11:45687106-45687306	#CHST1, ratio=0.129711
17:18128835-18129035	#LLGL1, ratio=0.129781
5:180076524-180076724	#FLT4, ratio=0.129786
12:131356516-131356716	#RAN, ratio=0.129792
14:94640548-94640748	#PPP4R4, ratio=0.129906
9:95858349-95858549	#C9orf89, ratio=0.129942
4:74124402-74124602	#ANKRD17, ratio=0.130083
2:42275060-42275260	#PKDCC, ratio=0.13015
6:2999966-3000166	#NQO2, ratio=0.130214
2:54197877-54198077	#PSME4, ratio=0.130278
21:44495940-44496140	#CBS, ratio=0.130289
7:43798171-43798371	#BLVRA, ratio=0.130292
1:45672150-45672350	#ZSWIM5, ratio=0.130295
4:187065894-187066094	#FAM149A, ratio=0.130309
3:11034319-11034519	#SLC6A1, ratio=0.130396
20:33814438-33814638	#MMP24, ratio=0.130484
16:2246365-2246565	#CASKIN1, ratio=0.130536
6:30852226-30852426	#DDR1, ratio=0.130698
17:1953574-1953774	#MIR212, ratio=0.130804
9:33167256-33167456	#B4GALT1, ratio=0.131442
1:154297935-154298135	#ATP8B2, ratio=0.131549
7:43909045-43909245	#MRPS24, ratio=0.131596
6:34664525-34664725	#C6orf106, ratio=0.131641
X:147582038-147582238	#AFF2, ratio=0.131982
8:125384840-125385040	#TMEM65, ratio=0.132346
2:203240949-203241149	#BMPR2, ratio=0.132462
2:26205343-26205543	#KIF3C, ratio=0.132679
4:41362703-41362903	#LIMCH1, ratio=0.132778
17:4402028-4402228	#SPNS2, ratio=0.13297
8:82024203-82024403	#PAG1, ratio=0.133152
11:76091780-76091980	#PRKRIR, ratio=0.133177
1:65886030-65886230	#LEPROT, ratio=0.133382
X:137793727-137793927	#FGF13, ratio=0.13341
2:230579186-230579386	#DNER, ratio=0.133633
9:130565053-130565253	#FPGS, ratio=0.13365
3:58419479-58419679	#PDHB, ratio=0.133741
1:233463413-233463613	#KIAA1804, ratio=0.133749
3:132441085-132441285	#NPHP3-AS1, ratio=0.13377
17:42200914-42201114	#HDAC5, ratio=0.133784
12:57610477-57610677	#NXPH4, ratio=0.133788
8:21777079-21777279	#XPO7, ratio=0.13389
14:103243715-103243915	#TRAF3, ratio=0.134016
18:72921181-72921381	#ZADH2, ratio=0.134247
2:242212146-242212346	#HDLBP, ratio=0.134364
7:22396433-22396633	#RAPGEF5, ratio=0.134376
12:31743852-31744052	#DENND5B, ratio=0.134532
20:62130405-62130605	#EEF1A2, ratio=0.134552
4:22517572-22517772	#GPR125, ratio=0.134606
3:116164285-116164485	#LSAMP, ratio=0.134627
12:109251259-109251459	#SSH1, ratio=0.134649
7:152456750-152456950	#ACTR3B, ratio=0.1347
10:89419375-89419575	#PAPSS2, ratio=0.134754
19:2015602-2015802	#BTBD2, ratio=0.134771
6:37137821-37138021	#PIM1, ratio=0.135134
17:18761280-18761480	#PRPSAP2, ratio=0.135169
7:66093767-66093967	#KCTD7, ratio=0.135198
4:5894685-5894885	#CRMP1, ratio=0.135218
15:79165071-79165271	#MORF4L1, ratio=0.135231
7:141401853-141402053	#KIAA1147, ratio=0.135434
17:7211187-7211387	#EIF5A, ratio=0.135435
11:47291570-47291770	#MADD, ratio=0.135463
10:135490178-135490378	#DUX4L6, ratio=0.135504
10:135490178-135490378	#DUX4L2, ratio=0.135504
10:135490178-135490378	#DUX4L3, ratio=0.135504
10:135490178-135490378	#DUX4L5, ratio=0.135504
10:111767610-111767810	#ADD3, ratio=0.135511
5:17217649-17217849	#BASP1, ratio=0.13562
10:17659273-17659473	#PTPLA, ratio=0.135792
7:94023772-94023972	#COL1A2, ratio=0.135802
18:18691712-18691912	#ROCK1, ratio=0.136287
2:25564684-25564884	#DNMT3A, ratio=0.136433
21:46494392-46494592	#ADARB1, ratio=0.136596
1:117210214-117210414	#IGSF3, ratio=0.136685
6:14117764-14117964	#CD83, ratio=0.136763
2:180129250-180129450	#SESTD1, ratio=0.13678
11:94964146-94964346	#SESN3, ratio=0.136858
1:110613222-110613422	#ALX3, ratio=0.13692
10:70587462-70587662	#STOX1, ratio=0.136974
11:128775492-128775692	#C11orf45, ratio=0.136975
13:35516323-35516523	#NBEA, ratio=0.137067
11:790026-790226	#CEND1, ratio=0.137212
18:43914086-43914286	#RNF165, ratio=0.137228
15:89346573-89346773	#ACAN, ratio=0.137256
X:153979248-153979448	#GAB3, ratio=0.13732
2:9346793-9346993	#ASAP2, ratio=0.137405
1:116519018-116519218	#SLC22A15, ratio=0.13741
3:48541561-48541761	#SHISA5, ratio=0.13765
14:32546394-32546594	#ARHGAP5, ratio=0.137729
9:108006828-108007028	#SLC44A1, ratio=0.137759
2:241507903-241508103	#RNPEPL1, ratio=0.137841
10:45869523-45869723	#ALOX5, ratio=0.13788
1:169075846-169076046	#ATP1B1, ratio=0.137899
3:20081423-20081623	#KAT2B, ratio=0.137907
14:105266832-105267032	#ZBTB42, ratio=0.137941
9:126773788-126773988	#LHX2, ratio=0.137989
3:97691124-97691324	#MINA, ratio=0.13808
22:20255716-20255916	#RTN4R, ratio=0.138099
12:21927647-21927847	#KCNJ8, ratio=0.138123
8:74659062-74659262	#STAU2, ratio=0.138215
7:79764039-79764239	#GNAI1, ratio=0.138456
16:1429584-1429784	#UNKL, ratio=0.138458
11:134201667-134201867	#GLB1L2, ratio=0.138473
5:16936285-16936485	#MYO10, ratio=0.138474
18:22932114-22932314	#ZNF521, ratio=0.138743
9:86432652-86432852	#GKAP1, ratio=0.138793
X:152599512-152599712	#ZNF275, ratio=0.13884
20:62258281-62258481	#GMEB2, ratio=0.138896
9:95526983-95527183	#BICD2, ratio=0.13902
5:80689888-80690088	#ACOT12, ratio=0.139096
12:105478241-105478441	#ALDH1L2, ratio=0.139124
14:53258286-53258486	#GNPNAT1, ratio=0.139154
X:19140655-19140855	#GPR64, ratio=0.139193
10:120967096-120967296	#GRK5, ratio=0.139328
21:43639166-43639366	#ABCG1, ratio=0.13935
5:87974162-87974362	#LINC00461, ratio=0.139359
22:44319518-44319718	#PNPLA3, ratio=0.139708
5:1344902-1345102	#CLPTM1L, ratio=0.139747
9:139377407-139377607	#SEC16A, ratio=0.139875
13:22033408-22033608	#ZDHHC20, ratio=0.139904
20:50159158-50159358	#NFATC2, ratio=0.13991
16:48419129-48419329	#SIAH1, ratio=0.140008
17:5185457-5185657	#RABEP1, ratio=0.140084
2:191272980-191273180	#MFSD6, ratio=0.140161
9:140499995-140500195	#ARRDC1, ratio=0.140165
4:3464932-3465132	#DOK7, ratio=0.140183
16:11680706-11680906	#LITAF, ratio=0.140241
16:24740948-24741148	#TNRC6A, ratio=0.140247
13:111358380-111358580	#CARS2, ratio=0.140265
2:243030743-243030943	#LOC728323, ratio=0.1403
8:1711769-1711969	#CLN8, ratio=0.140306
11:65292447-65292647	#SCYL1, ratio=0.140474
5:176513820-176514020	#FGFR4, ratio=0.140522
11:67169276-67169476	#PPP1CA, ratio=0.140566
3:154797335-154797535	#MME, ratio=0.140569
10:86088309-86088509	#FAM190B, ratio=0.140652
12:111180683-111180883	#PPP1CC, ratio=0.140724
18:72124403-72124603	#FAM69C, ratio=0.140754
15:102264545-102264745	#TARSL2, ratio=0.140809
19:30302800-30303000	#CCNE1, ratio=0.140812
19:54926504-54926704	#TTYH1, ratio=0.1409
14:71108403-71108603	#TTC9, ratio=0.141267
19:6424722-6424922	#KHSRP, ratio=0.141424
1:7831228-7831428	#VAMP3, ratio=0.141443
14:52118475-52118675	#FRMD6, ratio=0.141462
12:133812322-133812522	#LOC647589, ratio=0.141642
13:102068713-102068913	#NALCN, ratio=0.141702
1:202936304-202936504	#CYB5R1, ratio=0.141731
10:3827373-3827573	#KLF6, ratio=0.141774
1:113257850-113258050	#PPM1J, ratio=0.141852
17:58156192-58156392	#HEATR6, ratio=0.141856
19:1592552-1592752	#MBD3, ratio=0.141983
19:17137525-17137725	#CPAMD8, ratio=0.142112
2:161264293-161264493	#MIR4785, ratio=0.14227
5:14581790-14581990	#FAM105A, ratio=0.142379
3:23986650-23986850	#NR1D2, ratio=0.142434
5:1445443-1445643	#SLC6A3, ratio=0.14245
19:3029065-3029265	#TLE2, ratio=0.142469
11:33795971-33796171	#FBXO3, ratio=0.142497
11:68080007-68080207	#LRP5, ratio=0.142499
20:60795223-60795423	#HRH3, ratio=0.142533
20:34742561-34742761	#EPB41L1, ratio=0.142601
6:111804574-111804774	#TRAF3IP2-AS1, ratio=0.142612
13:92050834-92051034	#GPC5, ratio=0.142627
18:5295601-5295801	#ZFP161, ratio=0.142633
20:33413333-33413533	#NCOA6, ratio=0.142695
9:133971762-133971962	#AIF1L, ratio=0.142865
1:112162304-112162504	#RAP1A, ratio=0.142899
14:105190433-105190633	#ADSSL1, ratio=0.142902
2:10091691-10091891	#GRHL1, ratio=0.142972
2:11295439-11295639	#PQLC3, ratio=0.143015
11:78128768-78128968	#GAB2, ratio=0.143118
7:32535075-32535275	#AVL9, ratio=0.143175
19:33555724-33555924	#RHPN2, ratio=0.14318
17:29421844-29422044	#NF1, ratio=0.143223
11:6495114-6495314	#TRIM3, ratio=0.143302
2:64880946-64881146	#SERTAD2, ratio=0.143328
7:45197266-45197466	#RAMP3, ratio=0.143491
2:97426538-97426738	#CNNM4, ratio=0.143554
11:126225439-126225639	#ST3GAL4, ratio=0.143574
1:110026460-110026660	#ATXN7L2, ratio=0.143712
9:115249147-115249347	#KIAA1958, ratio=0.143872
12:106641613-106641813	#CKAP4, ratio=0.14389
16:66730510-66730710	#CMTM4, ratio=0.143913
3:53916129-53916329	#ACTR8, ratio=0.143933
21:35445769-35445969	#SLC5A3, ratio=0.14412
17:35766876-35767076	#TADA2A, ratio=0.144345
11:65343408-65343608	#EHBP1L1, ratio=0.144427
1:178994973-178995173	#FAM20B, ratio=0.144511
1:48937776-48937976	#SPATA6, ratio=0.144548
4:113066452-113066652	#C4orf32, ratio=0.144757
17:64298825-64299025	#PRKCA, ratio=0.144789
18:56338517-56338717	#MALT1, ratio=0.144945
5:170288795-170288995	#RANBP17, ratio=0.145269
9:139606923-139607123	#FAM69B, ratio=0.145314
1:84543644-84543844	#PRKACB, ratio=0.145435
15:60690085-60690285	#ANXA2, ratio=0.145454
4:1722984-1723184	#TMEM129, ratio=0.145459
3:133969486-133969686	#RYK, ratio=0.145651
11:85780039-85780239	#PICALM, ratio=0.145664
22:50708679-50708879	#MAPK11, ratio=0.145689
18:7117713-7117913	#LAMA1, ratio=0.145724
19:19051941-19052141	#HOMER3, ratio=0.145885
10:21463130-21463330	#LOC100128511, ratio=0.145901
9:111775664-111775864	#CTNNAL1, ratio=0.145975
7:77166672-77166872	#PTPN12, ratio=0.14598
19:40973025-40973225	#SPTBN4, ratio=0.146005
1:53527784-53527984	#PODN, ratio=0.146026
